name,country,company_type,ownership,website,description,search_keyword,relevant,relevance_score
Cardiff Oncology,,,Public,https://cardiffoncology.com/,"Cardiff Oncology is a clinical-stage biotechnology company advancing innovative cancer treatments focused on PLK1 inhibition, a validated oncology target with practice-changing potential."":",oncology,True,2
Irazu Oncology,,,Private,http://www.irazuoncology.com,,oncology,True,1
Theradex Oncology,,,Private,http://www.theradex.com/,"Theradex Oncology is a full-service CRO, conducting early to late phase oncology trials in the US, EU and Asia."" [e48]:",oncology,True,1
ALX Oncology,,,Public,https://alxoncology.com/,"ALX Oncology is a clinical stage biotechnology company. Our two clinical stage candidates are the CD47 inhibitor, evorpacept, and the EGFR-targeted top1i ADC, ALX2004."":",oncology,True,1
Duo Oncology,,,Private,https://www.duooncology.com/,"Duo Oncology, backed by BeOne Medicines, is replacing multi-agent chemotherapy with single-infusion prodrugs. Its lead program, DUO-207, is a gemcitabine / paclitaxel combo prodrug medicine designed to create a stronger, safer foundation for targeted and immunotherapy combinations.With a favorable FDA pre-IND interaction and preclinical studies completed, Duo is advancing DUO-207 through an adapti",oncology,True,1
Axelia Oncology,,. We are seeking discussions with potential partners to understand their interests.,Private,https://www.axeliaoncology.com,"AXA-042 is a systemic TLR2/6 agonist for innate immune stimulation. Our Ph1b trial progressing well and data show clear clinical benefit in advanced solid tumours. We are seeking discussions with potential partners to understand their interests."" [e69]:",oncology,True,1
Oncology Ventures,,Investor,Private,https://www.sanavia.bio,,oncology,True,1
Sanavia Oncology Inc.,,,Private,https://www.sanavia.bio,,oncology,True,1
Aurigene Oncology Ltd,,,Private,https://aurigene.com,"Founded in 2001, we are a clinical stage biotech company committed to the discovery and development of novel and effective therapeutics for the treatment of cancer."" [e90]:",oncology,True,2
Southern Oncology Clinical Research Unit,,,Private,http://www.socru.org.au,"A dedicated phase I oncology clinical trials unit located in Adelaide, South Australia."" [e97]",oncology,True,2
"Neovia Oncology, LLC",,Member,Private,https://www.neoviaoncology.com/,,oncology,True,1
"General Oncology, Inc.",,,Private,https://www.generaloncology.com,,oncology,True,1
Cure Lab Oncology,,,Private,https://www.CureLab.com,,oncology,True,1
